,tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,is_toi,importance_score,normalized_score,score_sum,score_weighted_root_sum,score_sum_norm,score_weighted_root_sumnorm,matched_label,label_group,similarity_score
5643,325094160.0,tess2018206045859-s0001-0000000325094160-0120-s_lc.fits,0.1124497991967872,325094160.0,0.2891566265060241,False,,,0.25381526104417673,0.375814854256143,0.2514239218877137,0.33349127170284587,PM*,stellar,0.6885253233118617
5644,325096436.0,tess2018206045859-s0001-0000000325096436-0120-s_lc.fits,0.1004016064257029,325096436.0,0.2469879518072288,False,,,0.21767068273092363,0.3528854650707206,0.2148087876322213,0.3087919766992067,outlier,outlier,0.5846669244901233
5645,325094789.0,tess2018206045859-s0001-0000000325094789-0120-s_lc.fits,0.0120481927710843,325094789.0,0.0240963855421686,False,,,0.02168674698795174,0.11885742902000541,0.01627339300244102,0.05669945671119893,PM*,stellar,0.8566460026720257
5646,325096629.0,tess2018206045859-s0001-0000000325096629-0120-s_lc.fits,0.0240963855421686,325096629.0,0.0240963855421686,False,,,0.024096385542168603,0.15523010514126634,0.018714401952807165,0.09587971791772067,outlier,outlier,0.517721888540165
5647,325176535.0,tess2018206045859-s0001-0000000325176535-0120-s_lc.fits,0.0180722891566265,325176535.0,0.0602409638554216,False,,,0.051807228915662584,0.15663464095495455,0.04678600488201791,0.09739266900965453,outlier,outlier,0.3886717574354074
5648,325177610.0,tess2018206045859-s0001-0000000325177610-0120-s_lc.fits,0.0200803212851405,325177610.0,0.0060240963855421,False,,,0.008835341365461779,0.12888705076715357,0.0032546786004882117,0.06750325895400879,outlier,outlier,0.3474360126769595
5649,325178933.0,tess2018206045859-s0001-0000000325178933-0120-s_lc.fits,0.1566265060240963,325178933.0,0.1987951807228916,False,,,0.19036144578313255,0.4057814404462202,0.18714401952807166,0.3657709607331693,outlier,outlier,0.43434178766863174
5650,325179447.0,tess2018206045859-s0001-0000000325179447-0120-s_lc.fits,0.0240963855421686,325179447.0,0.0120481927710843,False,,,0.014457831325301162,0.1461369361109511,0.008950366151342589,0.08608465261609023,outlier,outlier,0.4874771577141238
5651,325202048.0,tess2018206045859-s0001-0000000325202048-0120-s_lc.fits,0.0240963855421686,325202048.0,0.0120481927710843,False,,,0.014457831325301162,0.1461369361109511,0.008950366151342589,0.08608465261609023,*,stellar,0.8345909807445718
5652,325205605.0,tess2018206045859-s0001-0000000325205605-0120-s_lc.fits,0.1807228915662651,325205605.0,0.3795180722891565,False,,,0.33975903614457825,0.46330219701734154,0.33848657445077296,0.4277317100533421,*,stellar,0.777528820031478
5653,325207730.0,tess2018206045859-s0001-0000000325207730-0120-s_lc.fits,0.072289156626506,325207730.0,0.036144578313253,False,,,0.0433734939759036,0.2531165982066146,0.03824247355573643,0.20132201075602302,outlier,outlier,0.5867035339791228
5654,325209431.0,tess2018206045859-s0001-0000000325209431-0120-s_lc.fits,0.0120481927710843,325209431.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.3740188873490327
5655,325220989.0,tess2018206045859-s0001-0000000325220989-0120-s_lc.fits,0.2289156626506023,325220989.0,0.6325301204819277,False,,,0.5518072289156626,0.541824578003797,0.5532953620829942,0.5123151865990511,outlier,outlier,0.38975243143288907
5656,325279192.0,tess2018206045859-s0001-0000000325279192-0120-s_lc.fits,0.2008032128514054,325279192.0,0.1987951807228916,False,,,0.19919678714859435,0.44766147831984554,0.19609438567941417,0.41088369364721855,outlier,outlier,0.41005095064838104
5657,325279209.0,tess2018206045859-s0001-0000000325279209-0120-s_lc.fits,0.1224899598393572,325279209.0,0.1144578313253011,False,,,0.11606425702811234,0.3476517594261685,0.11187957689178189,0.30315428445055376,outlier,outlier,0.32258344021187696
5658,325338273.0,tess2018206045859-s0001-0000000325338273-0120-s_lc.fits,0.0120481927710843,325338273.0,0.0180722891566265,False,,,0.01686746987951806,0.11469805088864539,0.011391375101708769,0.052219018673038686,outlier,outlier,0.344089836177226
